epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,10718.6,1.29972,1.36884,0.54184,0.80697,0.82333,0.33694,0.5186,0.21223,0.22064,0.23286,0.15035,0.07658,1.93313,2.27932,0.67821,0.69879,0.0004754,0.0004754,0.0004754
79,10827.6,1.35687,1.46579,0.54914,0.8106,0.46963,0.48638,0.52894,0.22531,0.26927,0.27887,0.19028,0.09662,1.87419,2.18856,0.67271,0.69845,0.0004556,0.0004556,0.0004556
80,10936.5,1.31643,1.37884,0.55637,0.81034,0.49812,0.49859,0.54751,0.22534,0.28518,0.28545,0.20071,0.10116,1.91311,2.2327,0.67546,0.69735,0.0004358,0.0004358,0.0004358
81,11048.1,1.29442,1.4096,0.53778,0.80629,0.51009,0.49859,0.55804,0.22778,0.29203,0.28545,0.20633,0.1058,1.95424,2.26836,0.68466,0.69787,0.000416,0.000416,0.000416
82,11155.9,1.38068,1.45192,0.56935,0.80616,0.68779,0.43025,0.54268,0.23035,0.27265,0.28826,0.19351,0.09998,1.84683,2.26891,0.67098,0.69696,0.0003962,0.0003962,0.0003962
83,11267.1,1.32802,1.32913,0.54665,0.80761,0.80459,0.35182,0.52571,0.22065,0.24736,0.28545,0.17628,0.08985,1.86024,2.2417,0.67082,0.6978,0.0003764,0.0003764,0.0003764
84,11382.4,1.39152,1.5519,0.56969,0.8113,0.77599,0.38592,0.54884,0.22608,0.27656,0.29577,0.19452,0.10127,1.89519,2.2313,0.674,0.69873,0.0003566,0.0003566,0.0003566
85,11495.1,1.32314,1.35887,0.54215,0.81051,0.82877,0.35775,0.54501,0.22587,0.26277,0.29953,0.19554,0.09343,1.8992,2.45971,0.68081,0.69842,0.0003368,0.0003368,0.0003368
86,11607.5,1.27142,1.42005,0.52287,0.80368,0.78046,0.36244,0.52092,0.21987,0.23354,0.24319,0.16489,0.08135,1.90484,2.22251,0.6797,0.69706,0.000317,0.000317,0.000317
87,11722,1.28806,1.3518,0.54762,0.80678,0.79181,0.34178,0.50158,0.20935,0.20699,0.21127,0.14367,0.07323,1.96254,2.34338,0.68902,0.69657,0.0002972,0.0002972,0.0002972
88,11834.3,1.25851,1.32691,0.52844,0.81178,0.81097,0.36255,0.54119,0.22456,0.23921,0.26009,0.1706,0.08613,1.85465,2.25217,0.67089,0.69726,0.0002774,0.0002774,0.0002774
89,11942.7,1.32715,1.47469,0.53876,0.81477,0.80912,0.35423,0.53088,0.21758,0.2375,0.28545,0.17599,0.08891,1.86522,2.22435,0.6796,0.69814,0.0002576,0.0002576,0.0002576
90,12051.5,1.29044,1.38728,0.52989,0.81897,0.80769,0.35681,0.53317,0.21223,0.23648,0.28732,0.17406,0.0895,1.90246,2.26862,0.68809,0.69819,0.0002378,0.0002378,0.0002378
91,12155.3,1.28057,1.3515,0.86193,0.79452,0.81436,0.33521,0.51333,0.21135,0.23139,0.27136,0.16714,0.08499,1.90677,2.26417,0.68622,0.69772,0.000218,0.000218,0.000218
92,12258.2,1.3753,1.4999,0.5617,0.80149,0.50605,0.47136,0.54522,0.23594,0.2752,0.25634,0.18579,0.09555,1.85763,2.26301,0.69462,0.6967,0.0001982,0.0001982,0.0001982
93,12361.4,1.33378,1.3416,0.59945,0.78747,0.57572,0.48545,0.58405,0.25624,0.30178,0.25446,0.19974,0.10498,1.81556,2.27121,0.70713,0.69677,0.0001784,0.0001784,0.0001784
94,12465.1,1.34947,1.3481,0.56756,0.78932,0.53436,0.4892,0.57105,0.25169,0.27692,0.25352,0.18599,0.09513,1.79813,2.27307,0.68757,0.69639,0.0001586,0.0001586,0.0001586
95,12569.2,1.31794,1.39275,0.56604,0.79731,0.73439,0.40845,0.55588,0.24053,0.26429,0.27793,0.18462,0.09372,1.79739,2.28453,0.6646,0.69602,0.0001388,0.0001388,0.0001388
96,12674,1.30117,1.45288,0.54202,0.80145,0.78202,0.38065,0.55883,0.23605,0.25869,0.28638,0.18518,0.09216,1.81898,2.278,0.66817,0.69622,0.000119,0.000119,0.000119
97,12777,1.2609,1.30524,0.53143,0.80938,0.79129,0.38122,0.55984,0.22913,0.26297,0.28075,0.18792,0.09522,1.88848,2.27682,0.6782,0.69693,9.92e-05,9.92e-05,9.92e-05
98,12880.5,1.28929,1.37007,0.54958,0.79294,0.50289,0.49014,0.56176,0.23109,0.26012,0.25352,0.18256,0.09365,1.89335,2.24462,0.68662,0.69686,7.94e-05,7.94e-05,7.94e-05
99,12984.1,1.25587,1.38347,0.53144,0.80229,0.51848,0.48732,0.56408,0.23652,0.26074,0.24507,0.1823,0.09274,1.87702,2.23423,0.69642,0.69636,5.96e-05,5.96e-05,5.96e-05
100,13087,1.30008,1.35688,0.53639,0.80314,0.51885,0.49108,0.56661,0.23853,0.25893,0.24507,0.18218,0.09176,1.8575,2.23784,0.69887,0.69611,3.98e-05,3.98e-05,3.98e-05
